figure_id,italian,chinese,category,image,source_name,source_url,license_note,copyright_status,review_status,note
s1,strada deformata o dissestata,路面变形或损坏,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s1.gif,rmastri.it,https://www.rmastri.it/42/immagini/s1.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s1；来源：WEBpatente definiz.js
s2,dosso,凸起路面 / 坡顶,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s2.gif,rmastri.it,https://www.rmastri.it/42/immagini/s2.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s2；来源：WEBpatente definiz.js
s3,cunetta,凹陷路面 / 路面下凹,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s3.gif,rmastri.it,https://www.rmastri.it/42/immagini/s3.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s3；来源：WEBpatente definiz.js
s4,curva a destra,右弯,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s4.gif,rmastri.it,https://www.rmastri.it/42/immagini/s4.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s4；来源：WEBpatente definiz.js
s5,curva a sinistra,左弯,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s5.gif,rmastri.it,https://www.rmastri.it/42/immagini/s5.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s5；来源：WEBpatente definiz.js
s6,"doppia curva, la prima a destra",连续弯道，第一个向右,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s6.gif,rmastri.it,https://www.rmastri.it/42/immagini/s6.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s6；来源：WEBpatente definiz.js
s7,"doppia curva, la prima a sinistra",连续弯道，第一个向左,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s7.gif,rmastri.it,https://www.rmastri.it/42/immagini/s7.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s7；来源：WEBpatente definiz.js
s8,passaggio a livello con barriere o semibarriere,有栏杆或半栏杆的铁路平交道口,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s8.gif,rmastri.it,https://www.rmastri.it/42/immagini/s8.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s8；来源：WEBpatente definiz.js
s9,passaggio a livello senza barriere,无栏杆铁路平交道口,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s9.gif,rmastri.it,https://www.rmastri.it/42/immagini/s9.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s9；来源：WEBpatente definiz.js
s10,croce di s. andrea,圣安德烈十字标志,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s10.gif,rmastri.it,https://www.rmastri.it/42/immagini/s10.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s10；来源：WEBpatente definiz.js
s11,doppia croce di s. andrea,双圣安德烈十字标志,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s11.gif,rmastri.it,https://www.rmastri.it/42/immagini/s11.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s11；来源：WEBpatente definiz.js
s13,pannelli distanziometrici,距离提示板,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s13.gif,rmastri.it,https://www.rmastri.it/42/immagini/s13.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s13；来源：WEBpatente definiz.js
s14,attraversamento tranviario,有轨电车横穿,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s14.gif,rmastri.it,https://www.rmastri.it/42/immagini/s14.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s14；来源：WEBpatente definiz.js
s15,attraversamento pedonale,人行横道,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s15.gif,rmastri.it,https://www.rmastri.it/42/immagini/s15.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s15；来源：WEBpatente definiz.js
s16,attraversamento ciclabile,自行车横道,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s16.gif,rmastri.it,https://www.rmastri.it/42/immagini/s16.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s16；来源：WEBpatente definiz.js
s17,discesa pericolosa con pendenza del 10 %,10% 危险下坡,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s17.gif,rmastri.it,https://www.rmastri.it/42/immagini/s17.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s17；来源：WEBpatente definiz.js
s18,salita ripida con pendenza del 10 %,10% 陡上坡,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s18.gif,rmastri.it,https://www.rmastri.it/42/immagini/s18.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s18；来源：WEBpatente definiz.js
s19,strettoia simmetrica,道路两侧变窄,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s19.gif,rmastri.it,https://www.rmastri.it/42/immagini/s19.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s19；来源：WEBpatente definiz.js
s20,strettoia asimmetrica a sinistra,左侧道路变窄,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s20.gif,rmastri.it,https://www.rmastri.it/42/immagini/s20.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s20；来源：WEBpatente definiz.js
s21,strettoia asimmetrica a destra,右侧道路变窄,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s21.gif,rmastri.it,https://www.rmastri.it/42/immagini/s21.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s21；来源：WEBpatente definiz.js
s22,ponte mobile,活动桥,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s22.gif,rmastri.it,https://www.rmastri.it/42/immagini/s22.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s22；来源：WEBpatente definiz.js
s23,banchina cedevole o non praticabile,路肩松软或不可通行,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s23.gif,rmastri.it,https://www.rmastri.it/42/immagini/s23.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s23；来源：WEBpatente definiz.js
s24,strada sdrucciolevole,路面湿滑,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s24.gif,rmastri.it,https://www.rmastri.it/42/immagini/s24.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s24；来源：WEBpatente definiz.js
s25,attenzione ai bambini,注意儿童,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s25.gif,rmastri.it,https://www.rmastri.it/42/immagini/s25.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s25；来源：WEBpatente definiz.js
s26,attenzione agli animali domestici,注意家畜,交通标志与图形 - 危险标志,https://www.rmastri.it/42/immagini/s26.gif,rmastri.it,https://www.rmastri.it/42/immagini/s26.gif,external image link; needs manual verification before commercial use,unverified_external_link,imported_from_words,图形编号 s26；来源：WEBpatente definiz.js
